gene
G0S2
AREG
NUPR1
PLK1
DEPDC1
HMMR
AKR1C2
KRT81
NDC80
TPX2
DLGAP5
LOXL1
ASPM
ANLN
HMGB2
PCDH7
MKI67
PRC1
TOP2A
CCNA2
GTSE1
CDKN3
CKS1B
KIF14
NUSAP1
CDC20
AURKA
ODC1
CDK1
KIF4A
PSAT1
C19orf33
CACNG6
KIF20B
HMGN2
EMP3
NCAPG
UBE2S
HBEGF
CCNB1
STC2
CENPE
AURKB
TYMS
CENPF
KIF23
UBE2C
TRIB3
ITGA2
RRM2
FTL
BIRC5
TUBA1B
UBE2T
KISS1
SSR3
CSTB
SMC4
DIAPH3
MTHFD2
ZWINT
KCNMA1
SGO2
FAM83D
NUF2
KIF11
CD24
PRNP
CEP128
CENPK
CEP55
CDA
NPC2
MAD2L1
HMGA1
DDIT3
HSPB1
SFRP1
CDCA2
IGFBP6
STMN1
CDCA8
CDCA3
FABP5
UPP1
CLSPN
ATAD2
RAD51AP1
GPX2
UBASH3B
NCAPH
KIF2C
TUBB4B
KNL1
PBK
IL11
KPNA2
CKS2
BUB1
MGLL
KRT18
PIF1
NEK2
GAS5
PTTG1
CCNB2
FRMD4A
AKR1C3
TUBA4A
TACC3
PHLDA1
LCN2
BUB1B
FYN
MYBL2
CDCA7
SRGN
CDC6
PRR11
AKAP12
TRIO
APOLD1
COTL1
PCLAF
DBF4
ACOXL
ANK3
ORC6
GINS2
FEN1
KIF20A
NIBAN1
CENPA
BRCA1
AKR1B10
ECT2
CIT
MAL
LGALS1
SFN
UAP1
ASF1B
NEDD9
PLAAT3
HERPUD1
DTL
MIR100HG
TUBB6
FANCI
MCM3
NT5E
PCNA
ARHGAP11A
CKAP2L
CACNG8
NR0B1
CENPU
RASSF8
ELF3
NAALADL2
PLOD2
FXYD3
IGFBP4
HELLS
TMEM154
IGFBP3
SESN2
LMNB1
S100A14
GLRX
TGM2
DUT
MCM7
TMPO
TGFB2
ALDH3A1
CD40
HMGB3
MLPH
GAS2L3
KIAA1549L
MDK
MT2A
FAM111B
KLK5
CDCA5
LAMB3
CKAP2
PDLIM1
RTKN2
ANKRD1
MT1E
SPOCK1
BEX2
SMC2
GPAT3
MCM6
SAMD12
ETS1
CST6
RPL22L1
MIS18BP1
BRCA2
CMBL
KLK6
S100A6
CYP51A1
ITGA6
HDAC9
MCM5
FTX
FOSL1
MT1X
TRIM29
CTH
ANP32E
DOCK10
ARID5B
ZBTB20
IFITM3
SOX4
SEC11C
MT1A
ZBTB38
SAMD4A
CIP2A
CCDC146
TP63
SDF2L1
ZNF385B
IDI1
CDK14
SYNE2
MANF
FOXQ1
DKK1
RAMP1
SVEP1
CREB5
PLCE1
MSMO1
APOE
GRAMD1B
PPP1R15A
QPRT
LCP1
GPSM2
BLM
WFDC2
INPP4B
ATAD5
SCLT1
TPM1
THBS1
SLC8A1
CDT1
PDE4D
DDIT4
SHCBP1
EFNA5
GAL
KYNU
ZFPM2
E2F1
SFTA1P
LPP
MT-ND6
S100A2
KRT17
NEAT1
EPS8
MOK
PTN
EZH2
KRT7
UBALD2
ARG2
ZFAND2A
CHAF1A
TANC2
CLDN3
NCAPD2
MAP2
AXL
DENND5B
DLEU2
STK17A
EREG
ADAMTS12
VEGFA
FBXO5
DDX60L
KRT8
ITGB8
NNMT
C15orf48
CITED4
KLK7
RGS3
EPB41L2
